dimensao,status,evidencia,conclusao_permitida
Código e dados,APROVADO,"Dimensões, totais, limites, generated quantities, posto, QR e equivalência algébrica do RW2 foram verificados.",A implementação E07B preserva o modelo estatístico e os estimandos da E07.
Computação M0,APROVADO,0 divergências; 0 saturações; treedepth máximo 5; E-BFMI mínimo 0.344; R-hat máximo 1.0033.,M0 pode ser usado como referência computacional.
Computação M1,APROVADO COM MONITORAMENTO,0 divergências; 0 saturações; treedepth máximo 5; E-BFMI mínimo 0.409; R-hat máximo 1.0099 em sigma_rw2.,M1 sustenta inferência; sigma_rw2 deve permanecer explicitamente reportado nos diagnósticos.
Geometria posterior,APROVADO,"A reparametrização eliminou saturações e reduziu o treedepth máximo observado para 5, com queda de centenas de vezes na trajetória típica.","O problema computacional anterior foi corrigido, não apenas ocultado por max_treedepth maior."
Comparação preditiva interna,APROVADO,"M1 supera M0 em ΔELPD-LOO=284.9 (EP 23.6); Pareto-k máximo M1=0.479; nenhum k > 0,7.",M1 é preferível a M0 para descrever a heterogeneidade temporal dentro da amostra.
Adequação preditiva posterior,PARCIAL,1 de 60 meses fora do intervalo de 90%; maior erro absoluto de sobrevivência de subgrupo a 60m=4.2 p.p.,O M1 reproduz os padrões centrais; discrepâncias locais devem acompanhar a interpretação.
Adequação preditiva a priori,REPROVADA COMO PRIOR GENERATIVO,"No prior principal, 50.9% das simulações geram probabilidade de baixa acima de 99% em 60 meses; estreitar sigma_rw2 isoladamente não resolve.","A posterior é informada por uma amostra grande e mostrou estabilidade local, mas o prior RW2 deve ser redesenhado antes de reutilização prospectiva ou cumulativa."
Sensibilidade ao prior RW2,APROVADO LOCALMENTE,"Reponderação para escalas 0,075–0,30 manteve ESS mínimo dos pesos em 3918/4000 e quantidades substantivas estáveis.",As conclusões centrais não dependem materialmente da escala local testada do prior de sigma_rw2.
Sensibilidade à reparametrização,APROVADO,Máxima diferença padronizada entre medianas antiga/nova=0.082 DP; intervalos de 90% sem sobreposição=0.,A correção computacional preservou as inferências substantivas.
Definição do evento e janela,PARCIAL,Restringir a eventos voluntários aumenta S60 descritiva em 2.0 p.p.; a janela moderna altera S60 em -9.2 p.p.,Relatar o desfecho como baixa cadastral e apresentar resultados por coorte; refits alternativos seriam necessários para robustez completa dos coeficientes.
Validação temporal fora da amostra,NÃO EXECUTADO,Não há refit treino 2000–2018/teste 2019–2020; os artefatos fornecidos foram ajustados em todas as coortes.,Não alegar desempenho prospectivo ou generalização para coortes futuras.
Dependência empresarial M2,NÃO EXECUTADO,M2 não possui ajuste final reparametrizado e auditável.,Não afirmar que a dependência entre unidades do mesmo CNPJ básico é irrelevante.
Conclusão global E08,APROVADA PARA E09 COM ESCOPO RESTRITO,"Código, computação, adequação interna, comparação M0/M1 e sensibilidades executáveis foram aprovados; permanecem limites de generalização e especificações não refitadas.","A E09 pode interpretar associações condicionais ao M1 e ao desfecho primário, sem linguagem causal, prospectiva ou de independência empresarial."
